69633.20 55016.90 42664.40 11637.70 10661.40 66654.60
74286.60 59571.30 45427.20 13098.20 12160.70 72669.50
79376.80 61465.10 47733.40 15334.00 14488.80 76799.10
84807.10 64109.10 49739.00 20634.70 20093.70 163568.40
85272.50 72329.30 56495.80 11595.20 10967.20 188678.40
133371.70 109053.20 85560.60 30680.30 29370.40 139733.50
140014.70 112324.80 88979.60 34631.50 33302.90 146956.30
156475.00 108964.50 87150.90 57013.60 54992.60 165978.10
134439.70 119933.10 94867.90 23900.60 23808.20 143833.70
146970.50 123952.40 97427.40 34199.20 32983.60 158151.60
155269.30 123976.20 98440.60 39592.20 37654.20 163568.40
178435.80 59571.30 99737.70 64593.30 62244.40 188678.40
152377.20 61465.10 109532.70 28670.40 27285.00 165905.30
166308.20 64109.10 108941.90 39687.60 37304.30 177436.60
171138.80 72329.30 47733.40 43552.00 41598.40 181212.70
195772.50 109053.20 49739.00 69782.90 67493.20 208484.20
165580.50 112324.80 56495.80 25806.10 28758.90 173329.20
176563.20 149274.40 60406.70 35004.80 34377.10 184279.20
179928.90 147160.50 61818.60 37553.40 36084.60 184713.90
200268.20 148256.90 118716.00 58210.10 56342.00 206467.00
